ProdCategory,ProdNumber,ProdName, Retail Price , Cost ,In Stock,Inventory on Hand
Training Videos,TV801,Aerial Security, $36.99 , $14.06 ,472," $6,634.53 "
Training Videos,TV802,AI for Educators, $49.95 , $18.98 ,448," $8,503.49 "
Blueprints,BP101,All Eyes Drone Blueprint, $9.99 , $3.80 ,243, $922.48 
eBooks,EB501,Articulated Robots, $23.99 , $9.12 ,796," $7,256.50 "
Blueprints,BP102,Bsquare Robot Blueprint, $8.99 , $3.42 ,351," $1,199.09 "
eBooks,EB502,Building Your First Robot, $24.95 , $9.48 ,380," $3,602.78 "
eBooks,EB503,Building Your Own Drone, $24.99 , $9.50 ,173," $1,642.84 "
Drone Kits,DK201,BYOD-100, $54.00 , $20.52 ,281," $5,766.12 "
Drone Kits,DK202,BYOD-200, $58.95 , $22.40 ,438," $9,811.64 "
Drone Kits,DK203,BYOD-220, $69.00 , $26.22 ,189," $4,955.58 "
Drone Kits,DK204,BYOD-300, $89.00 , $33.82 ,127," $4,295.14 "
Drone Kits,DK205,BYOD-350, $89.95 , $34.18 ,334," $11,416.45 "
Drone Kits,DK206,BYOD-400, $119.00 , $45.22 ,17, $768.74 
Drone Kits,DK207,BYOD-400S, $129.95 , $49.38 ,123," $6,073.86 "
Drone Kits,DK208,BYOD-500, $167.00 , $63.46 ,160," $10,153.60 "
Drone Kits,DK209,BYOD-550, $179.00 , $68.02 ,409," $27,820.18 "
Robot Kits,RK602,BYOR-1000, $189.00 , $71.82 ,493," $35,407.26 "
Robot Kits,RK603,BYOR-1500, $189.00 , $71.82 ,275," $19,750.50 "
Robot Kits,RK604,BYOR-2640S, $189.00 , $71.82 ,331," $23,772.42 "
Robot Kits,RK605,BYOR-3000, $214.00 , $81.32 ,203," $16,507.96 "
Robot Kits,RK606,BYOR-3535, $225.00 , $85.50 ,126," $10,773.00 "
Robot Kits,RK607,BYOR-4005, $245.00 , $93.10 ,231," $21,506.10 "
eBooks,EB504,Cartesian Robots, $12.99 , $4.94 ,312," $1,540.09 "
Blueprints,BP104,Cat Robot Blueprint, $4.99 , $1.90 ,2229," $4,226.63 "
Training Videos,TV803,Cloud Computing, $29.99 , $11.40 ,436," $4,968.74 "
Blueprints,BP105,Creature Robot Arms Blueprint , $12.00 , $4.56 ,321," $1,463.76 "
Drones,DS301,DA-SA702 Drone, $399.00 , $151.62 ,309," $46,850.58 "
Drones,DS302,DC-304 Drone, $395.00 , $150.10 ,159," $23,865.90 "
eBooks,EB505,Delivery Drones, $14.99 , $5.70 ,429," $2,443.67 "
eBooks,EB506,Delta Robots, $16.99 , $6.46 ,428," $2,763.25 "
eBooks,EB507,Drone Building Essentials, $13.99 , $5.32 ,79, $419.98 
Training Videos,TV804,Drone Video Techniques, $37.99 , $14.44 ,75," $1,082.72 "
Drones,DS303,DTD-7000 Drone, $450.00 , $171.00 ,232," $39,672.00 "
Drones,DS304,DTE-QFN20 Drone, $250.00 , $95.00 ,302," $28,690.00 "
Drones,DS305,DTI-84 Drone, $455.00 , $172.90 ,340," $58,786.00 "
Drones,DS306,DX-145 Drone, $250.00 , $95.00 ,80," $7,600.00 "
eBooks,EB508,Fixed Wing Drones, $15.50 , $5.89 ,468," $2,756.52 "
eBooks,EB509,GPS Drones, $19.99 , $7.60 ,405," $3,076.46 "
eBooks,EB511,Helicopter Drones, $20.95 , $7.96 ,6, $47.77 
Blueprints,BP106,Hexacopter Drone Blueprint, $8.99 , $3.42 ,334," $1,141.01 "
Training Videos,TV805,Industrial 3D Printing , $49.00 , $18.62 ,252," $4,692.24 "
Blueprints,BP107,Ladybug Robot Blueprint, $12.00 , $4.56 ,283," $1,290.48 "
Training Videos,TV806,Mapping with Drones, $49.00 , $18.62 ,374," $6,963.88 "
Robots,RS702,MICR-23K Robot, $899.00 , $341.62 ,291," $99,411.42 "
Drones,DS307,MICR-564K Drone, $499.00 , $189.62 ,133," $25,219.46 "
eBooks,EB512,Multi Rotor Drones, $24.95 , $9.48 ,220," $2,085.82 "
Training Videos,TV807,Open Source Code, $32.95 , $12.52 ,376," $4,707.90 "
Blueprints,BP108,Panda Robot Blueprint, $7.99 , $3.04 ,2276," $6,910.39 "
eBooks,EB513,Photograph Drones, $14.99 , $5.70 ,326," $1,856.96 "
eBooks,EB514,Polar Robots, $23.99 , $9.12 ,375," $3,418.58 "
Blueprints,BP109,QuadroCopter Blueprint , $10.99 , $4.18 ,53, $221.34 
Robots,RS703,RCB-889 Robot, $549.00 , $208.62 ,296," $61,751.52 "
Robots,RS704,RLK-9920 Robot, $699.00 , $265.62 ,182," $48,342.84 "
Training Videos,TV808,Robotic Essentials, $34.99 , $13.30 ,901," $11,979.88 "
Robots,RS705,RQTE-554 Robot, $684.00 , $259.92 ,363," $94,350.96 "
eBooks,EB516,RTF Drones, $16.99 , $6.46 ,217," $1,401.00 "
Robots,RS706,RWW-75 Robot, $883.00 , $335.54 ,335," $112,405.90 "
Robots,RS707,RXW-9807 Robot, $599.00 , $227.62 ,286," $65,099.32 "
eBooks,EB517,SCARA Robots, $19.50 , $7.41 ,257," $1,904.37 "
eBooks,EB518,Single Rotor Drones, $14.99 , $5.70 ,236," $1,344.30 "
Blueprints,BP110,Sleepy Eye Blueprint, $11.99 , $4.56 ,1126," $5,130.28 "
eBooks,EB519,Spherical Robots, $16.75 , $6.37 ,470," $2,991.55 "
Training Videos,TV809,Understanding 3D Printing, $42.99 , $16.34 ,202," $3,299.91 "
eBooks,EB520,Understanding Arduino, $17.50 , $6.65 ,462," $3,072.30 "
eBooks,EB521,Understanding Artificial Intelligence, $19.50 , $7.41 ,158," $1,170.78 "
Training Videos,TV810,Understanding Automation, $44.95 , $17.08 ,190," $3,245.39 "
Training Videos,TV811,Understanding Drone Regulations, $27.50 , $10.45 ,338," $3,532.10 "
Training Videos,TV812,Understanding Raspberry PI, $28.99 , $11.02 ,467," $5,144.57 "
Blueprints,BP110,Upside Down Robot Blueprint, $12.00 , $4.56 ,8, $36.48 
Training Videos,TV813,Virtual Reality Basics, $29.99 , $11.40 ,350," $3,988.67 "
